date	1st	2nd		
16/6/2020	516967	64 	 	 
1/6/2020	831567	24 	 	 
1/4/2020	051095	22 	 	 
16/3/2020	503446	77 	 	 
1/3/2020	875938	98 	 	 
16/2/2020	781403	94 	 	 
1/2/2020	589227	06 	 	 
17/1/2020	491774	68 	 	 
30/12/2019	510541	81 	 	 
16/12/2019	529924	97 	 	 
1/12/2019	453522	81 	 	 
16/11/2019	017223	32 	 	 
1/11/2019	967375	79 	 	 
16/10/2019	812564	15 	 	 
1/10/2019	691197	59 	 	 
16/9/2019	340388	85 	 	 
1/9/2019	798787	20 	 	 
16/8/2019	775476	89 	 	 
1/8/2019	387006	58 	 	 
15/7/2019	369765	88 	 	 
1/7/2019	943647	86 	 	 
16/6/2019	174055	29 	 	 
1/6/2019	516461	46 	 	 
16/5/2019	962526	71 	 	 
2/5/2019	061324	25 	 	 
16/4/2019	570331	23 	 	 
1/4/2019	109767	52 	 	 
16/3/2019	724628	64 	 	 
1/3/2019	345650	65 	 	 
16/2/2019	074824	56 	 	 
1/2/2019	967134	04 	 	 
17/1/2019	197079	65 	 	 
30/12/2018	735867	02 	 	 
16/12/2018	356564	62 	 	 
1/12/2018	021840	67 	 	 
16/11/2018	989903	16 	 	 
1/11/2018	149840	58 	 	 
16/10/2018	200515	93 	 	 
1/10/2018	452643	99 	 	 
16/9/2018	149760	79 	 	 
1/9/2018	734510	26 	 	 
16/8/2018	586117	10 	 	 
1/8/2018	386602	78 	 	 
16/7/2018	596324	27 	 	 
1/7/2018	963623	83 	 	 
16/6/2018	223131	46 	 	 
1/6/2018	988117	95 	 	 
16/5/2018	075629	20 	 	 
2/5/2018	248038	85 	 	 
16/4/2018	739229	60 	 	 
1/4/2018	412073	85 	 	 
16/3/2018	218559	82 	 	 
2/3/2018	759415	29 	 	 
16/2/2018	309915	39 	 	 
1/2/2018	026853	31 	 	 
17/1/2018	203823	50 	 	 
30/12/2017	911234	98 	 	 
16/12/2017	955596	89 	 	 
1/12/2017	451005	33 	 	 
16/11/2017	292391	98 	 	 
1/11/2017	533726	85 	 	 
16/10/2017	413494	86 	 	 
1/10/2017	880714	52 	 	 
16/9/2017	170143	71 	 	 
1/9/2017	143224	65 	 	 
16/8/2017	715431	37 	 	 
1/8/2017	756519	36 	 	 
16/7/2017	820327	87 	 	 
1/7/2017	112360	26 	 	 
16/6/2017	943142	47 	 	 
1/6/2017	053630	61 	 	 
16/5/2017	454891	53 	 	 
2/5/2017	008656	35 	 	 
16/4/2017	816729	40 	 	 
1/4/2017	392785	80 	 	 
16/3/2017	273863	92 	 	 
1/3/2017	978453	78 	 	 
16/2/2017	229116	14 	 	 
1/2/2017	054672	42 	 	 
17/1/2017	145157	25 	 	 
30/12/2016	377712	46 	 	 
16/12/2016	435286	35 	 	 
1/12/2016	086069	77 	 	 
16/11/2016	858383	44 	 	 
1/11/2016	785438	86 	 	 
16/10/2016	571947	98 	 	 
1/10/2016	887102	33 	 	 
16/9/2016	240650	42 	 	 
1/9/2016	638684	62 	 	 
16/8/2016	254004	33 	 	 
1/8/2016	272932	57 	 	 
16/7/2016	449764	55 	 	 
1/7/2016	082460	53 	 	 
16/6/2016	073816	79 	 	 
1/6/2016	511825	14 	 	 
16/5/2016	141737	98 	 	 
2/5/2016	399459	02 	 	 
16/4/2016	221609	87 	 	 
1/4/2016	066720	92 	 	 
16/3/2016	134918	32 	 	 
1/3/2016	439686	06 	 	 
16/2/2016	356364	98 	 	 
1/2/2016	927800	09 	 	 
17/1/2016	304371	50 	 	 
30/12/2015	008217	02 	 	 
17/12/2015	930255	08 	 	 
1/12/2015	915350	78 	 	 
16/11/2015	795283	03 	 	 
1/11/2015	361211	45 	 	 
16/10/2015	968630	62 	 	 
1/10/2015	594825	07 	 	 
16/9/2015	743148	06 	 	 
1/9/2015	021094	89 	 	 
